Most Common Modern Characters
167,西,西,xi1,west
168,斯,斯,si1,(phonetic)/this
169,月,月,yue4,moon/month
170,话,話,hua4,dialect/language/spoken words/speech/talk/words/conversation/what someone said
171,合,合,ge3/he2,"one-tenth of a peck, Chinese musical note/fit/to join"
172,回,回,hui2,(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam
173,特,特,te2/te4,"special/unusual/extraordinary, male animal/special (-ly)"
174,代,代,dai4,substitute/replace/generation/dynasty/geological era/era/age/period
175,内,內,nei4,inside/inner/internal/within/interior
176,信,信,xin4,letter/true/to believe/sign/evidence
177,表,表,biao3,surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external
178,化,化,hua4,to make into/to change into/-ization/to ... -ize/to transform
179,老,老,lao3,(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people)
180,给,給,gei3/ji3,"to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle), to supply/provide"
181,世,世,shi4,life/age/generation/era/world/lifetime
182,位,位,wei4,position/location/(measure word for persons)/place/seat
183,次,次,ci4,nth/number (of times)/order/sequence/next/second(ary)/(measure word)
184,度,度,du4,capacity/degree/standard
185,门,門,men2,opening/door/gate/doorway/gateway/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)
186,任,任,ren4,to assign/to appoint/office/responsibility
187,常,常,chang2,always/ever/often/frequently/common/general/constant
188,先,先,xian1,early/prior/former/in advance/first
189,海,海,hai3,ocean/sea
190,通,通,tong1,go through/know well/to connect/to communicate/open
191,教,教,jiao1/jiao4,"teach, religion/teaching"
192,儿,兒,er2/er,"son, non-syllabic dimi. suff."
193,原,原,yuan2,former/original/primary/raw/level/cause/source
194,东,東,dong1,east
195,声,聲,sheng1,"sound/voice/(a measure word, used for sounds)/tone/noise"
196,提,提,di1/ti2,"carry (suspended), to carry/to lift/to put forward/(upwards character stroke)/lifting (brush stroke in painting)/to mention"
197,立,立,li4,set up/to stand
198,及,及,ji2,to reach/and
199,比,比,bi3/bi4,"(particle used for comparison and ""-er than"")/to compare/to contrast/to gesture (with hands)/ratio, associate with/be near"
200,员,員,yuan2,person/employee/member
201,解,解,jie3/jie4/xie4,"to separate/to divide/to break up/to loosen/to explain/to untie/to emancipate, transport under guard, (surname)"
202,水,水,shui3,water/river
203,名,名,ming2,name/(measure word for persons)/place (e.g. among winners)
204,真,真,zhen1,real/true/genuine
205,论,論,lun2/lun4,"the Analects (of Confucius), by the/per/discuss/theory/to talk (about)/to discuss"
206,处,處,chu3/chu4,"to reside/to live/to dwell/to be in/to stay/get along with/to be in a position of/deal with, a place/location/spot/point/office/department/bureau/respect"
207,走,走,zou3,to walk/to go/to move
208,义,義,yi4,justice/righteousness/meaning
209,各,各,ge4,each/every
210,入,入,ru4,to enter
211,几,幾,ji1/ji3,"small table, almost, a few/how many, how much/how many/several/a few"
212,口,口,kou3,mouth/(a measure word)
213,认,認,ren4,to recognize/to know/to admit
214,条,條,tiao2,"measure word for long, thin things (i.e. ribbon, river, etc.)/a strip/item/article"
215,平,平,ping2,flat/level/equal/to make the same score/to tie/to draw/calm/peaceful
216,系,系,xi4,"be/connection/relation/tie up/bind, be/system/to tie/department/faculty, connect/to tie"
217,气,氣,qi4,"air/anger/gas, gas/air/smell/weather/vital breath/to make sb. angry/to get angry/to be enraged"
218,题,題,ti2,topic/subject/to inscribe/to superscribe
219,活,活,huo2,to live/alive/living/work/workmanship
220,尔,爾,er3,thus/so/like that/you/thou
221,更,更,geng1/geng4,"to change, more/even more/further/still/still more"
222,别,別,bie2/bie4,"leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin, contrary/difficult/awkward"
223,打,打,da2/da3,"dozen, beat/strike/break/mix up/build/fight/fetch/make/tie up/issue/shoot/calculate/since/from"
224,女,女,nu:3/nv3,female/woman
225,变,變,bian4,to change/to become different/to transform/to vary/rebellion
226,四,四,si4,four/4
227,神,神,shen2,God/unusual/mysterious/soul/spirit/divine essence/lively/spiritual being
228,总,總,zong3,always/to assemble/gather/total/overall/head/chief/general/in every case
229,何,何,he2,carry/what/how/why/which
230,电,電,dian4,electric/electricity/electrical
231,数,數,shu3/shu4/shuo4,"to count, number/figure/to count/to calculate/several, frequently/repeatedly"
232,安,安,an1,content/calm/still/quiet/to pacify/peace
233,少,少,shao3/shao4,"few/little/lack, young"
234,报,報,bao4,to announce/to inform/report/newspaper/recompense/revenge
235,才,才,cai2,"ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until"
236,结,結,jie1/jie2,knot/sturdy/to bear (fruit)/bond/to tie/to bind
237,反,反,fan3,wrong side out or up/anti-
238,受,受,shou4,to bear/to stand/to endure/(passive marker)/to receive
239,目,目,mu4,eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title
240,太,太,tai4,highest/greatest/too (much)/very/extremely
241,量,量,liang2/liang4,"to measure, capacity/quantity/amount/to estimate"
242,再,再,zai4,again/once more/re-/second/another
243,感,感,gan3,to feel/to move/to touch/to affect
244,建,建,jian4,to establish/to found/to set up/to build/to construct
245,务,務,wu4,affair/business/matter
246,做,做,zuo4,to do/to make/to produce
247,接,接,jie1,to extend/to connect/to receive/to join
248,必,必,bi4,certainly/must/will/necessarily
249,场,場,chang3,"a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)"
250,件,件,jian4,"a measure word for thing, clothes, item"
251,计,計,ji4,to calculate/to compute/to count/reckon/ruse/to plan
252,管,管,guan3,to take care (of)/to control/to manage/to be in charge of/to look after/to run/tube/pipe
253,期,期,qi1,"a period of time/phase/stage/(used for issue of a periodical, courses of study)/time/term/period/to hope"
254,市,市,shi4,market/city
255,直,直,zhi2,straight/vertical/frank/directly/straightly/upright
256,德,德,de2,Germany/virtue/goodness/morality/ethics/kindness/favor/character/kind
257,资,資,zi1,resources/capital/to provide/to supply/to support/money/expense
258,命,命,ming4,life/fate
259,山,山,shan1,mountain/hill
260,金,金,jin1,metal/money/gold
261,指,指,zhi3,finger/to point/to direct/to indicate
262,克,克,ke4,"gram/subdue/to restrain/to overcome, subdue"
263,许,許,xu3,to allow/to permit/to praise/(surname)
264,统,統,tong3,to gather/to unite/to unify/whole
265,区,區,ou1/qu1,"Ou (surname), area/region/district/small/distinguish"
266,保,保,bao3,to defend/to protect/to insure or guarantee/to maintain/hold or keep/to guard
267,至,至,zhi4,arrive/most/to/until
268,队,隊,dui4,squadron/team/group
269,形,形,xing2,to appear/to look/form/shape
270,社,社,she4,society/group
271,便,便,bian4/pian2,"ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap"
272,空,空,kong1/kong4,"air/sky/empty/in vain, emptied/leisure"
273,决,決,jue2,breach (a dyke)/to decide/to determine
274,治,治,zhi4,to rule/to govern/to manage/to control/to harness (a river)/cure/treatment/to heal
275,展,展,zhan3,to use/to spread out/to postpone/to unfold
276,马,馬,ma3,horse/horse chess piece/Surname
277,科,科,ke1,"branch of study/administrative section/division/field/branch/stage directions/family (taxonomy)/rules/laws/to mete out (punishment)/to levy (taxes, etc.)/to fine somebody"
278,司,司,si1,company/control
279,五,五,wu3,five/5
280,基,基,ji1,base/foundation/basic/radical (chem.)
281,眼,眼,yan3,eye
282,书,書,shu1,book/letter
283,非,非,fei1,non-/not-/un-
284,则,則,ze2,(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle
285,听,聽,ting1/ting4,"listen/hear/obey, let/allow"
286,白,白,bai2,white/snowy/empty/blank/bright/clear/plain/pure/gratuitous
287,却,卻,que4,but/yet/however/while/to go back/to decline/to retreat/nevertheless
288,界,界,jie4,boundary/scope/extent/circles/group/kingdom (taxonomy)
289,达,達,da2,attain/pass through/achieve/reach/realize/clear/inform/notify/dignity
290,光,光,guang1,light/ray/bright
291,放,放,fang4,to release/to free/to let go/to put/to place/to let out
292,强,強,qiang2,strength/force/power/powerful/better
293,即,即,ji2,namely/right away/to approach/to draw near
294,像,像,xiang4,(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem
295,难,難,nan2/nan4,"difficult (to...)/problem/difficulty/difficult/not good, disaster/distress/to scold"
296,且,且,qie3,further/moreover
297,权,權,quan2,authority/power/right
298,思,思,si1,to think/to consider
299,王,王,wang2,king/Wang (proper name)
300,象,象,xiang4,shape/form/appearance/elephant/image under a map (math.)
301,完,完,wan2,to finish/to be over/whole/complete/entire
302,设,設,she4,to set up/to arrange/to establish/to found/to display
303,式,式,shi4,type/form/pattern/style
304,色,色,se4/shai3,"color/look/appearance, color/dice"
305,路,路,lu4,(surname)/road/path/way
306,记,記,ji4,to remember/to note/mark/sign/to record
307,南,南,nan2,south
308,品,品,pin3,conduct/grade/thing/product/good
309,住,住,zhu4,to live/to dwell/to reside/to stop
310,告,告,gao4,to tell/to inform/to say
311,类,類,lei4,kind/type/class/category/similar/like/to resemble
312,求,求,qiu2,to seek/to look for/to request/to demand/to beseech
313,据,據,ju1/ju4,"sickness of hand, act in accordance with/seize, according to/to act in accordance with/to depend on/to seize/to occupy"
314,程,程,cheng2,rule/order/regulations/formula/journey/procedure/sequence/a surname
315,北,北,bei3,north
316,边,邊,bian1,side/edge/margin/border/boundary
317,死,死,si3,to die/inpassable/uncrossable/inflexible/rigid
318,张,張,zhang1,(a measure word)/(a surname)/open up
319,该,該,gai1,that/the above-mentioned/most likely/to deserve/should/ought to/owe
320,交,交,jiao1,to deliver/to turn over/to make friends/to intersect (lines)/to pay (money)
321,规,規,gui1,compass/rule
322,万,萬,wan4,Wan (surname)/ten thousand/a great number
323,取,取,qu3,to take/to get/to choose/to fetch
324,拉,拉,la1,to pull/to play (string instruments)/to drag/to draw
325,格,格,ge2,frame/rule
326,望,望,wang4,hope/expect/to visit/to gaze (into the distance)/look towards/towards
327,觉,覺,jiao4/jue2,"a nap/a sleep, feel/find that/thinking/awake/aware"
328,术,術,shu4/zhu2,"method/technique, Atractylis lancea var. ovata"
329,领,領,ling3,neck/collar/to lead/to receive
330,共,共,gong4,all together/in while/to share/common/general/together
331,确,確,que4,"authenticated/solid/firm, authenticated/solid/firm/real/true"
332,传,傳,chuan2/zhuan4,"to pass on/to spread/to transmit/to infect/to transfer/to circulate/to pass on/to conduct (electricity), biography"
333,师,師,shi1,a division (milit.)/teacher/master/expert/model
